gempId,title,rarity,imageUrl
7_86,Gunga City & Gungan Energy Shield,uncommon,https://res.starwarsccg.org/youngjedi/cards/reflections/light/gungacitydoubleimpact.jpg
7_87,The Queen's Plan & Naboo Royal Security Forces,uncommon,https://res.starwarsccg.org/youngjedi/cards/reflections/light/thequeensplandoubleimpact.jpg
7_88,The Might Of The Republic & Senate Guard,rare,https://res.starwarsccg.org/youngjedi/cards/reflections/light/themightoftherepublicdoubleimpact.jpg
7_89,The Negotiations Were Short & Qui-Gon's Final Stand,rare,https://res.starwarsccg.org/youngjedi/cards/reflections/light/thenegotiationswereshortdoubleimpact.jpg
7_90,Wisdom Of The Council & Jedi Training,rare,https://res.starwarsccg.org/youngjedi/cards/reflections/light/wisdomofthecouncildoubleimpact.jpg
7_91,Yousa Guys Bombad! & Uh-Oh!,rare,https://res.starwarsccg.org/youngjedi/cards/reflections/light/yousaguysbombaddoubleimpact.jpg
7_92,Grueling Contest & Da Dug Chaaa!,uncommon,https://res.starwarsccg.org/youngjedi/cards/reflections/dark/gruelingcontestdoubleimpact.jpg
7_93,Let Them Make The First Move & Very Unusual,uncommon,https://res.starwarsccg.org/youngjedi/cards/reflections/dark/letthemmakethefirstmovedoubleimpact.jpg
7_94,Now There Are Two Of Them & The Duel Begins,uncommon,https://res.starwarsccg.org/youngjedi/cards/reflections/dark/nowtherearetwoofthemdoubleimpact.jpg
7_95,Opee Sea Killer & To The Death,uncommon,https://res.starwarsccg.org/youngjedi/cards/reflections/dark/opeeseakillerdoubleimpact.jpg
7_96,Starfighter Screen & Blockade,uncommon,https://res.starwarsccg.org/youngjedi/cards/reflections/dark/starfighterscreendoubleimpact.jpg
7_97,We Have Them On The Run & Where Are Those Droidekas?,uncommon,https://res.starwarsccg.org/youngjedi/cards/reflections/dark/wehavethemontherundoubleimpact.jpg
7_98,You Have Been Well Trained & After Her!,uncommon,https://res.starwarsccg.org/youngjedi/cards/reflections/dark/youhavebeenwelltraineddoubleimpact.jpg
