|light|battleofnaboo|character| 1 | Anakin Skywalker, Boonta Eve Podracer Pilot|/boontaevepodrace/light/1anakinskywalkerboontaeve.jpg | Ultra-rare |
|light|battleofnaboo|character| 2 | Yoda, Jedi Instructor|/boontaevepodrace/light/2yodajediinstructor.jpg | Rare |
|light|battleofnaboo|character| 3 | C-3PO, Human-Cyborg Relations Droid|/boontaevepodrace/light/3c3pohumancyborgrelations.jpg | Rare |
|light|battleofnaboo|character| 4 | Jira, Pallie Vendor|/boontaevepodrace/light/4jirapallievendor.jpg | Rare |
|light|battleofnaboo|character| 5 | Kitster, Anakin's Friend|/boontaevepodrace/light/5kitsteranakinsfriend.jpg | Rare |
|light|battleofnaboo|character| 6 | Wald, Anakin's Friend|/boontaevepodrace/light/6waldanakinsfriend.jpg | Rare |
|light|battleofnaboo|character| 7 | Seek, Anakin's Friend|/boontaevepodrace/light/7seekanakinsfriend.jpg | Uncommon |
|light|battleofnaboo|character| 8 | Amee, Anakin's Friend|/boontaevepodrace/light/8ameeanakinsfriend.jpg | Uncommon |
|light|battleofnaboo|character| 9 | Melee, Anakin's Friend|/boontaevepodrace/light/9meleeanakinsfriend.jpg | Uncommon |
|light|battleofnaboo|character| 10 | Captain Tarpals, Gungan Leader|/boontaevepodrace/light/10captaintarpalsgungan.jpg | Rare |
|light|battleofnaboo|character| 11 | Boles Roor, Podracer Pilot|/boontaevepodrace/light/11bolesroorpodracerpilot.jpg | Uncommon |
|light|battleofnaboo|character| 12 | Elan Mak, Podracer Pilot|/boontaevepodrace/light/12elanmakpodracerpilot.jpg | Uncommon |
|light|battleofnaboo|character| 13 | Neva Kee, Podracer Pilot|/boontaevepodrace/light/13nevakeepodracerpilot.jpg | Uncommon |
|light|battleofnaboo|character| 14 | Wan Sandage, Podracer Pilot|/boontaevepodrace/light/14wansandagepodracerpilot.jpg | Uncommon |
|light|battleofnaboo|character| 15 | Shmi Skywalker, Anakin's Mother|/boontaevepodrace/light/15shmiskywalkeranakins.jpg | Rare |
|light|battleofnaboo|weapon| 16 | Boles Roor's Podracer|/boontaevepodrace/light/16bolesroorspodracer.jpg | Uncommon |
|light|battleofnaboo|weapon| 17 | Elan Mak's Podracer|/boontaevepodrace/light/17elanmakspodracer.jpg | Uncommon |
|light|battleofnaboo|weapon| 18 | Neva Kee's Podracer|/boontaevepodrace/light/18nevakeespodracer.jpg | Uncommon |
|light|battleofnaboo|weapon| 19 | Wan Sandage's Podracer|/boontaevepodrace/light/19wansandagespodracer.jpg | Uncommon |
|light|battleofnaboo|weapon| 20 | Comlink|/boontaevepodrace/light/20comlink.jpg | Common |
|light|battleofnaboo|weapon| 21 | Hold-Out Blaster|/boontaevepodrace/light/21holdoutblaster.jpg | Common |
|light|battleofnaboo|battle| 22 | Dis Is Nutsen|/boontaevepodrace/light/22disisnutsen.jpg | Common |
|light|battleofnaboo|battle| 23 | Masquerade|/boontaevepodrace/light/23masquerade.jpg | Common |
|light|battleofnaboo|battle| 24 | No Giben Up, General Jar Jar|/boontaevepodrace/light/24nogibenupgeneraljarjar.jpg | Common |
|light|battleofnaboo|battle| 25 | What Does Your Heart Tell You?|/boontaevepodrace/light/25whatdoesyourhearttellyou.jpg | Common |
|light|battleofnaboo|battle| 26 | All-Out Defense|/boontaevepodrace/light/26alloutdefense.jpg | Uncommon |
|light|battleofnaboo|battle| 27 | Bravo Squadron|/boontaevepodrace/light/27bravosquadron.jpg | Common |
|light|battleofnaboo|battle| 28 | Hologram Projector|/boontaevepodrace/light/28hologramprojector.jpg | Common |
|light|battleofnaboo|objective| 29 | Boonta Eve Classic|/boontaevepodrace/light/29boontaeveclassic.jpg | Rare |
|light|battleofnaboo|starship| 30 | Amidala's Starship|/boontaevepodrace/light/30amidalasstarship.jpg | Rare |
|dark|battleofnaboo|character| 31 | Sebulba, Dug Podracer Pilot|/boontaevepodrace/dark/31sebulbadugpodracerpilot.jpg | Ultra-rare |
|dark|battleofnaboo|character| 32 | Watto, Podrace Sponsor|/boontaevepodrace/dark/32wattopodracesponsor.jpg | Rare |
|dark|battleofnaboo|character| 33 | Aurra Sing, Formidable Adversary|/boontaevepodrace/dark/33aurrasingformidable.jpg | Rare |
|dark|battleofnaboo|character| 34 | Jabba The Hutt, O Grandio Lust|/boontaevepodrace/dark/34jabbathehuttograndiolust.jpg | Rare |
|dark|battleofnaboo|character| 35 | TC-14, Protocol Droid|/boontaevepodrace/dark/35tc14protocoldroid.jpg | Rare |
|dark|battleofnaboo|character| 36 | Orr'UrRuuR'R, Tusken Raider Leader|/boontaevepodrace/dark/36orrurruurrtuskenraider.jpg | Rare |
|dark|battleofnaboo|character| 37 | UrrOr'RuuR, Tusken Raider Warrior|/boontaevepodrace/dark/37urrorruurtuskenraider.jpg | Uncommon |
|dark|battleofnaboo|character| 38 | RuuR'Ur, Tusken Raider Sniper|/boontaevepodrace/dark/38ruururtuskenraidersniper.jpg | Common |
|dark|battleofnaboo|character| 39 | Sil Unch, Neimoidian Comm Officer|/boontaevepodrace/dark/39silunchneimoidiancomm.jpg | Uncommon |
|dark|battleofnaboo|character| 40 | Graxol Kelvyyn and Shakka|/boontaevepodrace/dark/40graxolkelvyynandshakka.jpg | Uncommon |
|dark|battleofnaboo|character| 41 | Corix Venne, Bith Musician|/boontaevepodrace/dark/41corixvennebithmusician.jpg | Common |
|dark|battleofnaboo|character| 42 | Reike Th'san, Arms Smuggler|/boontaevepodrace/dark/42reikethsanarmssmuggler.jpg | Rare |
|dark|battleofnaboo|character| 43 | Meddun, Nikto Mercenary|/boontaevepodrace/dark/43meddunniktomercenary.jpg | Uncommon |
|dark|battleofnaboo|character| 44 | Rum Sleg, Bounty Hunter|/boontaevepodrace/dark/44rumslegbountyhunter.jpg | Rare |
